dna_library_id	ploidy	depth1	depth2	depth3	depth4	numOverlaps	meanOverlapSize	meanFragSize	numReads	sampleSize	nr_bins
VZA02704D_C23	2	0.004985562659900803	6.6218979774537215e-6	0	0	173.85	89.74882461817181	172.10000590586057	203188	68475.59323412373	235693
VZA02704D_C23	3	0.004980388088288946	8.835507114191901e-6	6.840569135352061e-9	0	19.8	98.82524409220498	171.85822713312388	28327	6379.677122764177	21928
VZA02704D_C24	2	0.0049865610167398565	6.753208665519291e-6	0	0	186.4	93.90831467435864	175.47972244812928	249611	73838.161009344185	259142
VZA02704D_D01	3	0.004978683997408488	7.227891156462585e-6	0	0	6.6	69.15428571428572	140.8931323283082	2985	2191.0223365654856	6174
VZA02704D_D02	2	0.0049859323781359655	7.458728091203388e-6	6.4278531818933945e-9	0	221.45	79.513469755687	147.10460168881326	122216	80110.68222685094	235693
VZA02704D_D02	3	0.004979764912440715	8.103794235680408e-6	0	0	24.95	71.06320597749655	145.86619058768437	17084	7516.477914331507	21928
VZA02704D_D03	3	0.0049843672032193155	9.357813547954393e-6	0	0	27.05	51.52782340217008	106.25433087916848	9236	7016.184600021398	14910
VZA02704D_D04	1	0.004979295654945289	9.172421119728036e-6	1.1154785934346117e-8	0	15.15	57.37363550149541	116.78260157273918	12208	4030.137997112961	9413
VZA02704D_D04	2	0.004982054156605726	1.0364578675490485e-5	1.0369688994502149e-8	0	407.45	59.75758827781447	115.14222613757609	489242	101969.10719766255	234819
VZA02704D_D04	3	0.004979391012743126	1.1386988598256205e-5	1.006036217303823e-9	0	28.55	59.42460874966892	115.05275467246955	49171	6479.6362514072625	14910
VZA02704D_D06	2	0.00498751263785878	6.7673707851293885e-6	1.9294440885692015e-10	0	221.75	79.13352546382211	153.45052036314704	293545	84438.29300374143	259142
VZA02704D_D07	2	0.004986736383913067	6.6494624568769245e-6	0	0	224.9	76.6917946049864	149.80900974746174	236677	86490.79265554344	259142
VZA02704D_D09	2	0.004985513251422	7.235164504402992e-6	0	0	226.2	82.878205560123	151.82297396406307	174528	85343.47379512525	259142
VZA02704D_D10	1	0.004995818129988597	0	0	0	0	0	150.4327868852459	610	582.9846127021491	1754
VZA02704D_D10	2	0.00498668325640667	6.7830473837164126e-6	1.2646277215721013e-8	0	235.25	74.38399788601032	140.20964634389858	185293	91786.83732240958	257388
VZA02704D_D11	2	0.0049879366379145754	6.497817075602584e-6	0	0	168.5	90.91769771779518	169.60490315699315	123757	69482.95586178692	235693
VZA02704D_D11	3	0.004981588380153229	8.380153228748631e-6	0	0	20.45	90.13066048156686	170.06264795888907	17319	6447.03591975731	21928
VZA02704D_D12	1	0.00499931295200526	0	0	0	0	0	175.99771167048056	437	432.1078909388774	1521
VZA02704D_D12	2	0.004986049087185995	7.102994919884142e-6	0	0	192.3	89.58286528290355	168.47122038884902	137997	72033.37146837242	242711
VZA02704D_D12	3	0.004991616364855802	9.299463447350771e-6	1.710261569416499e-7	0	16.75	84.7065501676686	167.86357595184114	12791	4441.106391143952	14910
VZA02704D_D13	1	0.005009451019066404	2.1696252465483236e-6	0	0	0.2	33	164.60342857142857	875	462.01953786763687	1521
VZA02704D_D13	2	0.004985668820119402	6.762899085743951e-6	0	0	185.95	88.19739820368518	167.55568682084146	269175	72426.9658061556	242711
VZA02704D_D13	3	0.00496774245472837	7.724010731052985e-6	0	0	12.95	89.0403222946644	168.10669639302492	25118	4434.683543224589	14910
VZA02704D_D14	1	0.004947475345167653	0	0	0	0	0	179.88497217068647	1078	422.7701685265785	1521
VZA02704D_D14	2	0.0049863671609444975	6.947542550605453e-6	0	0	180.35	93.67511004227411	173.8703604673029	340336	69796.54247787762	242711
VZA02704D_D14	3	0.004975831656606305	9.777665995975855e-6	0	0	15.4	94.36888755293555	172.7720701226205	31887	4314.933539147275	14910
VZA02704D_D15	1	0.004962018408941486	0	0	0	0	0	163.22538860103626	1158	465.9201650662646	1521
VZA02704D_D15	2	0.004987819340697372	7.078068155130999e-6	2.966491011944246e-9	0	187.45	91.61876585755546	167.40458418350508	348459	72492.3397957686	242711
VZA02704D_D15	3	0.004980716633132126	9.424547283702213e-6	0	0	15.6	89.09414402483482	165.91944266983054	32871	4493.144311504825	14910
